FL_DATE,AIRLINE,ORIGIN,DEST,CRS_DEP_TIME,NUM_PREVIOUS_FLIGHTS_LATE,AVG_GATE_WAIT_TIME,DELAYED
2024-01-01,Spirit,PHX,CLT,917,9,7.478868696583549,1
2024-01-02,Southwest,PHX,IAH,1345,8,49.40366927292514,1
2024-01-03,Alaska,JFK,MSP,1981,3,26.901369518243758,0
2024-01-04,Spirit,ORD,EWR,2330,1,46.92140320678622,0
2024-01-05,United,ATL,IAH,2285,3,39.61700657449153,0
2024-01-06,Frontier,MIA,BOS,1352,5,48.41399442100398,1
2024-01-07,Alaska,DEN,BOS,1201,2,34.008907082564754,0
2024-01-08,Alaska,SEA,MSP,1963,0,29.368711297202715,0
2024-01-09,Spirit,JFK,BOS,1386,8,59.708911934701675,1
2024-01-10,American,LAX,DTW,1804,6,0.6857796628601309,1
2024-01-11,United,PHX,MSP,2018,1,32.36797136871213,0
2024-01-12,Spirit,LAX,CLT,1944,8,54.198175226692946,1
2024-01-13,United,DEN,DTW,1195,3,2.527770840189254,0
2024-01-14,United,PHX,LAS,538,5,47.04697676305268,1
2024-01-15,Frontier,MIA,BOS,2034,7,19.59865872678699,1
2024-01-16,Alaska,LAX,SLC,1217,3,33.84299776359828,0
2024-01-17,Southwest,JFK,LAS,824,4,54.001670272365274,1
2024-01-18,Frontier,SEA,DTW,716,6,41.1699310043518,1
2024-01-19,Frontier,JFK,SLC,2080,4,7.671910249935614,0
2024-01-20,United,DEN,BWI,1845,3,22.73021841835738,0
2024-01-21,JetBlue,ORD,FLL,1123,8,34.35691656051302,1
2024-01-22,Alaska,LAX,SLC,647,6,26.897561787442495,1
2024-01-23,American,DFW,BOS,1405,1,16.303029373108217,0
2024-01-24,Frontier,ORD,CLT,1115,0,36.76633961378634,0
2024-01-25,Southwest,SEA,EWR,2041,8,38.71383348766454,1
2024-01-26,JetBlue,PHX,FLL,1373,2,46.166045593635516,0
2024-01-27,JetBlue,SFO,EWR,916,9,4.069630869956454,1
2024-01-28,American,PHX,BOS,1601,8,52.28517102549634,1
2024-01-29,Frontier,LAX,MSP,870,5,18.34794069159699,1
2024-01-30,Southwest,SEA,MSP,1252,1,27.25389337271554,0
2024-01-31,Alaska,SFO,BWI,2189,4,57.310612446012115,1
2024-02-01,Delta,JFK,DTW,1481,5,16.794440544873343,1
2024-02-02,Southwest,PHX,DTW,2352,6,43.704073202203155,1
2024-02-03,American,PHX,CLT,2113,3,4.810101884981355,0
2024-02-04,JetBlue,ATL,CLT,1943,1,30.10308056743233,0
2024-02-05,Alaska,SEA,BWI,817,8,39.126934398075335,1
2024-02-06,Southwest,PHX,LAS,2149,9,45.17857315185028,1
2024-02-07,Delta,ORD,SLC,2186,3,2.2641940746400824,0
2024-02-08,Delta,LAX,CLT,1859,6,24.384732345851383,1
2024-02-09,United,ORD,BOS,1100,0,6.576097609112901,0
2024-02-10,United,SEA,CLT,2142,2,6.642002872407233,0
2024-02-11,Spirit,MIA,MSP,966,7,48.4111712138554,1
2024-02-12,American,LAX,MSP,1181,7,54.23359750447499,1
2024-02-13,Frontier,MIA,MSP,702,3,0.21874717859321935,0
2024-02-14,Southwest,DFW,IAH,2193,8,53.7224512230698,1
2024-02-15,Southwest,MIA,DTW,2227,5,42.52220125564828,1
2024-02-16,Frontier,MIA,IAH,2188,8,37.95357805438945,1
2024-02-17,Spirit,DEN,DTW,1902,2,29.548628479651246,0
2024-02-18,JetBlue,MIA,DTW,900,6,57.47770160802259,1
2024-02-19,JetBlue,DFW,SLC,1613,5,57.458989277923195,1
2024-02-20,Spirit,PHX,LAS,2041,4,51.11603004601394,1
2024-02-21,JetBlue,SFO,BWI,1918,5,56.408516801293175,1
2024-02-22,United,MIA,SLC,2292,0,49.054176568890554,0
2024-02-23,Southwest,DFW,FLL,832,7,49.727950622099335,1
2024-02-24,Spirit,ATL,EWR,1539,6,3.539348968965248,1
2024-02-25,Southwest,MIA,BWI,830,9,21.86622642601777,1
2024-02-26,Frontier,SFO,FLL,1353,7,8.358655124789582,1
2024-02-27,Delta,SFO,BWI,1367,0,43.398783255675326,0
2024-02-28,United,ATL,FLL,979,6,52.03428277839514,1
2024-02-29,Alaska,PHX,IAH,2102,4,14.329052183890616,0
2024-03-01,United,DEN,SLC,1934,3,6.008472327838412,0
2024-03-02,Spirit,ORD,BOS,579,9,57.774745173398834,1
2024-03-03,Alaska,DEN,DTW,856,6,21.272162946374607,1
2024-03-04,Delta,ORD,IAH,1806,6,40.64949102642244,1
2024-03-05,Spirit,MIA,IAH,1494,1,6.312156299061737,0
2024-03-06,American,ATL,DTW,1269,0,16.82597331260342,0
2024-03-07,Southwest,SEA,SLC,1477,5,58.492327818661806,1
2024-03-08,Delta,ORD,BWI,1315,2,14.403328661708056,0
2024-03-09,Southwest,LAX,CLT,1036,4,10.344482160838162,0
2024-03-10,JetBlue,SFO,BOS,1943,0,7.904106131256466,0
2024-03-11,American,MIA,SLC,1734,8,7.541193660582712,1
2024-03-12,American,MIA,EWR,1245,2,54.37665997539278,1
2024-03-13,Delta,SFO,BWI,2124,4,28.62865650602163,0
2024-03-14,American,JFK,SLC,2138,5,9.391706611303787,1
2024-03-15,Alaska,SFO,LAS,2120,0,13.43897336344818,0
